entity:sample_id	hg19_RRBS_bai	hg19_RRBS_bam	hg19_hybrid_capture_bai	hg19_hybrid_capture_bam	hg19_raindance_bai	hg19_raindance_bam	hg19_targeted_bai	hg19_targeted_bam	hg38_rna_bai	hg38_rna_bam	hg38_wes_bai	hg38_wes_bam	hg38_wgs_bai	hg38_wgs_bam	mutect2_parquet_wes	mutect2_parquet_wgs	mutect2_vcf_wes	mutect2_vcf_wgs	participant	stripped_cell_line_name	wes_kit
ACH-000001	gs://cclebams/RRBS/G29750/NIH_OVCAR-3/v1/NIH_OVCAR-3.bai	gs://cclebams/RRBS/G29750/NIH_OVCAR-3/v1/NIH_OVCAR-3.bam	gs://cclebams/hybrid_capture/NIHOVCAR3_OVARY.bai	gs://cclebams/hybrid_capture/NIHOVCAR3_OVARY.bam	gs://cclebams/raindance/G16640/NIH_OVCAR-3/current/NIH_OVCAR-3.bai	gs://cclebams/raindance/G16640/NIH_OVCAR-3/current/NIH_OVCAR-3.bam			gs://cclebams/rnasq_hg38/CDS-VqxBGH.Aligned.sortedByCoord.out.bam.bai	gs://cclebams/rnasq_hg38/CDS-VqxBGH.Aligned.sortedByCoord.out.bam			gs://cclebams/wgs_hg38/CDS-1pLoxn.wgs_ccle.bai	gs://cclebams/wgs_hg38/CDS-1pLoxn.wgs_ccle.bam		"[""gs://ccle-mutation/mutect2_parquet/0f5356e3433d46f1bfafeff075aa4f3b-0.parquet"",""gs://ccle-mutation/mutect2_parquet/102f8da27ce849b8b3c4350653579891-0.parquet"",""gs://ccle-mutation/mutect2_parquet/5e02612748c04b0e8bc0b250eaf770fc-0.parquet"",""gs://ccle-mutation/mutect2_parquet/6a0603c9874a4748814781ca21ba670d-0.parquet"",""gs://ccle-mutation/mutect2_parquet/9f16c92bef5040d9a1ff2a3bb421dc62-0.parquet"",""gs://ccle-mutation/mutect2_parquet/d8be205a7b3e42ea8074223c1a938e8d-0.parquet"",""gs://ccle-mutation/mutect2_parquet/e29380d41ddf4963904493ed5ad3a353-0.parquet"",""gs://ccle-mutation/mutect2_parquet/ed98f5f38b59493fb1ef97282f663c98-0.parquet"",""gs://ccle-mutation/mutect2_parquet/f2a5c287d41d4aa1bcb90580ace69f40-0.parquet""]"		gs://ccle-mutation/mutect2_vcf/CDS-1pLoxn_fixed.vcf.gz	ACH-000001	NIHOVCAR3	
ACH-000002	gs://cclebams/RRBS/G29750/HL-60/v2/HL-60.bai	gs://cclebams/RRBS/G29750/HL-60/v2/HL-60.bam	gs://cclebams/hybrid_capture/HL-60.bai	gs://cclebams/hybrid_capture/HL-60.bam	gs://cclebams/raindance/HL-60.bai	gs://cclebams/raindance/HL-60.bam			gs://cclebams/rnasq_hg38/CDS-AExPJi.Aligned.sortedByCoord.out.bam.bai	gs://cclebams/rnasq_hg38/CDS-AExPJi.Aligned.sortedByCoord.out.bam									ACH-000002	HL60	
ACH-000003									gs://cclebams/rnasq_hg38/CDS-TyidZO.Aligned.sortedByCoord.out.bam.bai	gs://cclebams/rnasq_hg38/CDS-TyidZO.Aligned.sortedByCoord.out.bam									ACH-000003	CACO2	
ACH-000004	gs://cclebams/RRBS/G48942/HEL/current/HEL.bai	gs://cclebams/RRBS/G48942/HEL/current/HEL.bam	gs://cclebams/hybrid_capture/HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai	gs://cclebams/hybrid_capture/HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam					gs://cclebams/rnasq_hg38/CDS-Sl0JI6.Aligned.sortedByCoord.out.bam.bai	gs://cclebams/rnasq_hg38/CDS-Sl0JI6.Aligned.sortedByCoord.out.bam	gs://cclebams/hg38_wes/CDS-7ffA1d.hg38.bam.bai	gs://cclebams/hg38_wes/CDS-7ffA1d.hg38.bam			"[""gs://ccle-mutation/mutect2_parquet/d7afb11fb4774882919bad729f473d0a-0.parquet""]"		gs://ccle-mutation/mutect2_vcf/CDS-7ffA1d_fixed.vcf.gz		ACH-000004	HEL	ICE
ACH-000005	gs://cclebams/RRBS/G29750/HEL_92.1.7/v2/HEL_92.1.7.bai	gs://cclebams/RRBS/G29750/HEL_92.1.7/v2/HEL_92.1.7.bam	gs://cclebams/hybrid_capture/HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai	gs://cclebams/hybrid_capture/HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam	gs://cclebams/raindance/G16640/HEL_92.1.7/current/HEL_92.1.7.bai	gs://cclebams/raindance/G16640/HEL_92.1.7/current/HEL_92.1.7.bam			gs://cclebams/rnasq_hg38/CDS-wsWPxR.Aligned.sortedByCoord.out.bam.bai	gs://cclebams/rnasq_hg38/CDS-wsWPxR.Aligned.sortedByCoord.out.bam	gs://cclebams/hg38_wes/CDS-bweujf.hg38.bam.bai	gs://cclebams/hg38_wes/CDS-bweujf.hg38.bam	gs://cclebams/wgs_hg38/CDS-17moNf.wgs_ccle.bai	gs://cclebams/wgs_hg38/CDS-17moNf.wgs_ccle.bam	"[""gs://ccle-mutation/mutect2_parquet/04a2bf1d850f4f7f8568d98d93bf51fb-0.parquet"",""gs://ccle-mutation/mutect2_parquet/9629cda8527d4a69b4ef29aa5f8de83f-0.parquet"",""gs://ccle-mutation/mutect2_parquet/a0ccbea79afa4b33a96cb5b659c7ff6d-0.parquet"",""gs://ccle-mutation/mutect2_parquet/a532b024fc114aa49550df926bf13d5e-0.parquet""]"		gs://ccle-mutation/mutect2_vcf/CDS-bweujf_fixed.vcf.gz	gs://ccle-mutation/mutect2_vcf/CDS-17moNf_fixed.vcf.gz	ACH-000005	HEL9217	ICE
ACH-000006	gs://cclebams/RRBS/G29750/MONO-MAC-6/v1/MONO-MAC-6.bai	gs://cclebams/RRBS/G29750/MONO-MAC-6/v1/MONO-MAC-6.bam	gs://cclebams/hybrid_capture/MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai	gs://cclebams/hybrid_capture/MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam	gs://cclebams/raindance/G16640/MONO-MAC-6/current/MONO-MAC-6.bai	gs://cclebams/raindance/G16640/MONO-MAC-6/current/MONO-MAC-6.bam			gs://cclebams/rnasq_hg38/CDS-1mUpO8.Aligned.sortedByCoord.out.bam.bai	gs://cclebams/rnasq_hg38/CDS-1mUpO8.Aligned.sortedByCoord.out.bam									ACH-000006	MONOMAC6	
ACH-000007	gs://cclebams/RRBS/G29750/LS513/v2/LS513.bai	gs://cclebams/RRBS/G29750/LS513/v2/LS513.bam	gs://cclebams/hybrid_capture/LS513_LARGE_INTESTINE.bai	gs://cclebams/hybrid_capture/LS513_LARGE_INTESTINE.bam	gs://cclebams/raindance/G16640/LS513/current/LS513.bai	gs://cclebams/raindance/G16640/LS513/current/LS513.bam			gs://cclebams/rnasq_hg38/CDS-QXeqmN.Aligned.sortedByCoord.out.bam.bai	gs://cclebams/rnasq_hg38/CDS-QXeqmN.Aligned.sortedByCoord.out.bam	gs://cclebams/hg38_wes/CDS-0o3uUk.hg38.bai	gs://cclebams/hg38_wes/CDS-0o3uUk.hg38.bam	gs://cclebams/wgs_hg38/CDS-Q35ZbB.wgs_ccle.bai	gs://cclebams/wgs_hg38/CDS-Q35ZbB.wgs_ccle.bam	"[""gs://ccle-mutation/mutect2_parquet/3605b102576d4b60be2e1515a223b13f-0.parquet"",""gs://ccle-mutation/mutect2_parquet/362b5d0e70ca428daca2809bc361b843-0.parquet"",""gs://ccle-mutation/mutect2_parquet/9198e04a573143ab975892d6bb674338-0.parquet"",""gs://ccle-mutation/mutect2_parquet/9c84298ba3a04f7faed247e973d27d44-0.parquet"",""gs://ccle-mutation/mutect2_parquet/d6c3559151dd4ea98ac4cffbe3594f8f-0.parquet""]"	"[""gs://ccle-mutation/mutect2_parquet/23efe5f703484c79a5d07f1e24e45be7-0.parquet"",""gs://ccle-mutation/mutect2_parquet/37bf34cddc444b9db8e8a44163332a4e-0.parquet"",""gs://ccle-mutation/mutect2_parquet/3d483b4a3f1d48d2af74996850780303-0.parquet"",""gs://ccle-mutation/mutect2_parquet/6473e1cf3e584707bd0bea107fd4d715-0.parquet"",""gs://ccle-mutation/mutect2_parquet/735d84383ecb446ea76b03d1a5d74a2f-0.parquet"",""gs://ccle-mutation/mutect2_parquet/7468bd30af064a2aa380439e4d998544-0.parquet"",""gs://ccle-mutation/mutect2_parquet/a129fa325db74f4c82e65d419ff564f0-0.parquet"",""gs://ccle-mutation/mutect2_parquet/b87d0ef95148473c8eb153b73e1b545c-0.parquet"",""gs://ccle-mutation/mutect2_parquet/ce980d6ba66742e5b74988738abe69b8-0.parquet""]"	gs://ccle-mutation/mutect2_vcf/CDS-0o3uUk_fixed.vcf.gz	gs://ccle-mutation/mutect2_vcf/CDS-Q35ZbB_fixed.vcf.gz	ACH-000007	LS513	ICE
ACH-000008	gs://cclebams/RRBS/G29750/A101D/v1/A101D.bai	gs://cclebams/RRBS/G29750/A101D/v1/A101D.bam	gs://cclebams/hybrid_capture/A101D_SKIN.bai	gs://cclebams/hybrid_capture/A101D_SKIN.bam	gs://cclebams/raindance/G16640/A101D/current/A101D.bai	gs://cclebams/raindance/G16640/A101D/current/A101D.bam			gs://cclebams/rnasq_hg38/CDS-1AQAqe.Aligned.sortedByCoord.out.bam.bai	gs://cclebams/rnasq_hg38/CDS-1AQAqe.Aligned.sortedByCoord.out.bam			gs://cclebams/wgs_hg38/CDS-yvi0TY.wgs_ccle.bai	gs://cclebams/wgs_hg38/CDS-yvi0TY.wgs_ccle.bam		"[""gs://ccle-mutation/mutect2_parquet/18d3c29f2c9242d693fd0936de9d1884-0.parquet"",""gs://ccle-mutation/mutect2_parquet/3ae3862e7a94486a9229b5ff6e2e73b3-0.parquet"",""gs://ccle-mutation/mutect2_parquet/3f213aa7ccc14f0c9cd92a49c68931fc-0.parquet"",""gs://ccle-mutation/mutect2_parquet/5d37327ed01f47f9a6d3ed2447b7d9eb-0.parquet"",""gs://ccle-mutation/mutect2_parquet/75dd5666c51440828fe7950d53513863-0.parquet"",""gs://ccle-mutation/mutect2_parquet/a07eac5211f94a1bbe77df045da4906b-0.parquet"",""gs://ccle-mutation/mutect2_parquet/b2ef3ce4ff074f0294825282a0420a18-0.parquet"",""gs://ccle-mutation/mutect2_parquet/c06a048d6199496fa0e409c2c7b71c95-0.parquet"",""gs://ccle-mutation/mutect2_parquet/ec879013dcd1414b95446b8e425248a1-0.parquet""]"		gs://ccle-mutation/mutect2_vcf/CDS-yvi0TY_fixed.vcf.gz	ACH-000008	A101D	
ACH-000009	gs://cclebams/RRBS/G29750/C2BBe1/v2/C2BBe1.bai	gs://cclebams/RRBS/G29750/C2BBe1/v2/C2BBe1.bam	gs://cclebams/hybrid_capture/C2BBE1_LARGE_INTESTINE.bai	gs://cclebams/hybrid_capture/C2BBE1_LARGE_INTESTINE.bam	gs://cclebams/raindance/G16640/C2BBe1/current/C2BBe1.bai	gs://cclebams/raindance/G16640/C2BBe1/current/C2BBe1.bam			gs://cclebams/rnasq_hg38/CDS-A6LeC4.Aligned.sortedByCoord.out.bam.bai	gs://cclebams/rnasq_hg38/CDS-A6LeC4.Aligned.sortedByCoord.out.bam			gs://cclebams/wgs_hg38/CDS-R99tiF.wgs_ccle.bai	gs://cclebams/wgs_hg38/CDS-R99tiF.wgs_ccle.bam		"[""gs://ccle-mutation/mutect2_parquet/1286c35c854d43c9b8ed7e2087f57fbe-0.parquet"",""gs://ccle-mutation/mutect2_parquet/1296ae73749345db8a95779a7fd559d5-0.parquet"",""gs://ccle-mutation/mutect2_parquet/277df30e9f4e406b84dd7cc4f186acb8-0.parquet"",""gs://ccle-mutation/mutect2_parquet/3ff50bc877c84543bf50538a67cb85ef-0.parquet"",""gs://ccle-mutation/mutect2_parquet/495d5206a0834d0db00d9b0f6076b238-0.parquet"",""gs://ccle-mutation/mutect2_parquet/5daab07546f846d6838fb6fc75a2547f-0.parquet"",""gs://ccle-mutation/mutect2_parquet/cc5dad2acbdb40b1bf524cc3ffb230b1-0.parquet"",""gs://ccle-mutation/mutect2_parquet/e819f63ebf1443e0b6beac9d376b29ae-0.parquet""]"		gs://ccle-mutation/mutect2_vcf/CDS-R99tiF_fixed.vcf.gz	ACH-000009	C2BBE1	
ACH-000011	gs://cclebams/RRBS/G29750/253J/v2/253J.bai	gs://cclebams/RRBS/G29750/253J/v2/253J.bam	gs://cclebams/hybrid_capture/253J_URINARY_TRACT.bai	gs://cclebams/hybrid_capture/253J_URINARY_TRACT.bam	gs://cclebams/raindance/G16640/253J/current/253J.bai	gs://cclebams/raindance/G16640/253J/current/253J.bam			gs://cclebams/rnasq_hg38/CDS-chxUMN.Aligned.sortedByCoord.out.bam.bai	gs://cclebams/rnasq_hg38/CDS-chxUMN.Aligned.sortedByCoord.out.bam	gs://cclebams/hg38_wes/CDS-vaC7MY.hg38.bai	gs://cclebams/hg38_wes/CDS-vaC7MY.hg38.bam			"[""gs://ccle-mutation/mutect2_parquet/358f3064d4584bb4bcb198b242ea66dd-0.parquet""]"		gs://ccle-mutation/mutect2_vcf/CDS-vaC7MY_fixed.vcf.gz		ACH-000011	253J	AGILENT
